FileName1,NumberOfNucleotides1,NumberOfWeakBonds1,TimeToGenerateStructuralTree1[ns],FileName2,NumberOfNucleotides2,NumberOfWeakBonds2,TimeToGenerateStructuralTree2[ns],MaxNumberOfNucleotides1-2,ASADistance,TimeToCalculateASADistance[ns]
"1o0b.pdb",604,534,80706333,"1o0c.pdb",604,532,12418041,604,56800.0,3590577750
"1o0b.pdb",604,534,80706333,"1zjw.pdb",604,531,15418166,604,65000.0,3594124333
"1o0b.pdb",604,534,80706333,"2re8.pdb",604,531,7569667,604,65000.0,3374636750
"1o0c.pdb",604,532,12418041,"1zjw.pdb",604,531,15418166,604,8200.0,3177060125
"1o0c.pdb",604,532,12418041,"2re8.pdb",604,531,7569667,604,8200.0,3364174958
"1zjw.pdb",604,531,15418166,"2re8.pdb",604,531,7569667,604,0.0,3140936166
